0 AC_Milan_ Fenerbahçe_İstanbul_SK_ 1 2
1 PSV_Eindhoven_ FC_Schalke_04_ 1 1
2 Rosenborg_BK_ Olympiacos_ 1 2
3 Olympique_Lyon_ Real_Madrid_CF_ 1 3
4 Chelsea_FC_ RSC_Anderlecht_ 1 1
5 Liverpool_FC_ Real_Betis_ 1 1
6 Internazionale_ Petrzalka_Akademia_ 1 1
7 Rangers_FC_ FC_Porto_ 1 1
8 Juventus_ Club_Brugge_ 1 1
9 Bayern_München_ Rapid_Wien_ 1 1
10 Arsenal_FC_ Thun_ 1 1
11 FC_Barcelona_ Werder_Bremen_ 1 2
12 Udinese_Calcio_ Panathinaikos_FC_ 1 3
13 SL_Benfica_ Lille_OSC_ 1 1
14 Juventus_ Rapid_Wien_ 1 3
15 Bayern_München_ Club_Brugge_ 1 1
16 Thun_ Sparta_Praha_ 1 1
17 Arsenal_FC_ AFC_Ajax_ 1 1
18 FC_Barcelona_ Udinese_Calcio_ 1 3
19 Panathinaikos_FC_ Werder_Bremen_ 1 1
20 Manchester_United_FC_ SL_Benfica_ 1 1
21 Fenerbahçe_İstanbul_SK_ PSV_Eindhoven_ 1 3
22 Olympique_Lyon_ Rosenborg_BK_ 1 1
23 Real_Madrid_CF_ Olympiacos_ 1 1
24 Real_Betis_ RSC_Anderlecht_ 1 1
25 Petrzalka_Akademia_ FC_Porto_ 1 1
26 Internazionale_ Rangers_FC_ 1 1
27 Bayern_München_ Juventus_ 1 1
28 Club_Brugge_ Rapid_Wien_ 1 1
29 AFC_Ajax_ Thun_ 1 2
30 Arsenal_FC_ Sparta_Praha_ 1 2
31 Real_Madrid_CF_ Rosenborg_BK_ 1 3
32 Olympique_Lyon_ Olympiacos_ 1 1
33 Liverpool_FC_ RSC_Anderlecht_ 1 1
34 Chelsea_FC_ Real_Betis_ 1 4
35 FC_Porto_ Internazionale_ 1 2
36 PSV_Eindhoven_ AC_Milan_ 1 1
37 FC_Schalke_04_ Fenerbahçe_İstanbul_SK_ 1 2
38 Real_Madrid_CF_ Rosenborg_BK_ 1 2
39 Olympique_Lyon_ Olympiacos_ 1 3
40 Real_Betis_ Chelsea_FC_ 1 1
41 Liverpool_FC_ RSC_Anderlecht_ 1 3
42 Internazionale_ FC_Porto_ 1 1
43 Juventus_ Bayern_München_ 1 1
44 Club_Brugge_ Rapid_Wien_ 1 1
45 Arsenal_FC_ Sparta_Praha_ 1 3
46 AFC_Ajax_ Thun_ 1 2
47 Werder_Bremen_ Udinese_Calcio_ 1 1
48 FC_Barcelona_ Panathinaikos_FC_ 1 5
49 Villarreal_CF_ SL_Benfica_ 1 1
50 Lille_OSC_ Manchester_United_FC_ 1 1
51 Bayern_München_ Rapid_Wien_ 1 4
52 Juventus_ Club_Brugge_ 1 1
53 Arsenal_FC_ Thun_ 1 1
54 AFC_Ajax_ Sparta_Praha_ 1 1
55 FC_Barcelona_ Werder_Bremen_ 1 2
56 Udinese_Calcio_ Panathinaikos_FC_ 1 1
57 AC_Milan_ Fenerbahçe_İstanbul_SK_ 1 4
58 FC_Schalke_04_ PSV_Eindhoven_ 1 3
59 Chelsea_FC_ RSC_Anderlecht_ 1 2
60 Internazionale_ Petrzalka_Akademia_ 1 4
61 AC_Milan_ FC_Schalke_04_ 1 1
62 PSV_Eindhoven_ Fenerbahçe_İstanbul_SK_ 1 2
63 Olympique_Lyon_ Rosenborg_BK_ 1 1
64 Olympiacos_ Real_Madrid_CF_ 1 1
65 RSC_Anderlecht_ Real_Betis_ 1 1
66 Juventus_ Rapid_Wien_ 1 2
67 FC_Barcelona_ Udinese_Calcio_ 1 2
68 Werder_Bremen_ Panathinaikos_FC_ 1 4
69 SL_Benfica_ Manchester_United_FC_ 1 1
70 Villarreal_CF_ Lille_OSC_ 1 1
71 Olympique_Lyon_ PSV_Eindhoven_ 1 1
72 Arsenal_FC_ Real_Madrid_CF_ 1 1
73 SL_Benfica_ Liverpool_FC_ 1 1
74 Werder_Bremen_ Juventus_ 1 1
75 FC_Barcelona_ Chelsea_FC_ 1 1
76 Juventus_ Werder_Bremen_ 1 1
77 AC_Milan_ Bayern_München_ 1 3
78 Olympique_Lyon_ PSV_Eindhoven_ 1 4
79 SL_Benfica_ Liverpool_FC_ 1 2
80 Internazionale_ AFC_Ajax_ 1 1
81 Arsenal_FC_ Juventus_ 1 2
82 Internazionale_ Villarreal_CF_ 1 1
83 Villarreal_CF_ Internazionale_ 1 1
84 AC_Milan_ Olympique_Lyon_ 1 2
85 FC_Barcelona_ SL_Benfica_ 1 2
86 FC_Barcelona_ AC_Milan_ 1 1
